2026-02-26 01:15:07,065 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ee00>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:09,081 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ef10>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:09,096 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447e9c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:09,110 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee4510160>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:11,125 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee4510380>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:11,140 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee45105a0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:11,162 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447e9c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:13,177 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ead0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:13,193 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ebe0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:13,212 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447ecf0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:15,225 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f020>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:15,241 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f460>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:15,258 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f570>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:17,273 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447f790>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:17,289 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447fac0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2026-02-26 01:15:17,304 | ERROR | Upload exception: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /captures/upload (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffee447fbd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
